,name,fork project,commits,branches,default branch,releases,contributors,license,watchers,stargazers,forks,size,created,pushed,updated,homepage,main language,total issues,open issues,total pull requests,open pull requests,last commit,last commit SHA,has wiki,is archived,languages,labels
1288,nccgroup/scoutsuite,False,5496,33,master,28,50,GNU General Public License v2.0,93,2849,420,10491,2018-10-30 11:46:54.0,2021-03-27 19:22:13.0,2021-03-28 02:24:00.0,,Python,644,179,538,7,2021-02-17 08:31:00.0,db827e3d8e36e3bc7adcb8c62f2453960353c2ef,True,False,"Python,HTML,JavaScript,CSS,Shell,Dockerfile","API unsupported,UX,WIP,blocked,bug,bugfix,cleanup,component-UI,component-core,component-findings,component-provider-alibaba,component-provider-aws,component-provider-azure,component-provider-gcp,component-provider-oci,component-provider-openstack,component-provider-salesforce,duplicate,enhancement,good first issue,hotfix,invalid,polymtl,potential,proprietary,providers-refactoring,question,refactoring,release,wontfix"
1048,lavaio/lava,False,20263,11,master,12,6,MIT License,10,24,11,44178,2019-06-03 02:20:58.0,2020-10-10 07:43:23.0,2020-11-07 01:16:50.0,https://www.lavatech.org/,C++,16,5,53,3,2020-08-26 05:54:59.0,a093be68e5b75e340ed257b5ce5cef97f7fb5207,True,False,,
1712,restcomm/sip-servlets,False,5408,42,master,258,18,GNU Affero General Public License v3.0,69,202,167,69505,2012-08-17 14:07:17.0,2020-10-13 06:39:35.0,2020-12-08 07:56:13.0,http://www.restcomm.com/,Java,323,155,73,30,2018-10-31 13:16:11.0,fd7011d2803ab1d205b140768a760c8c69e0c997,True,False,,
387,corretto/corretto-11,False,54396,18,develop,17,117,Other,39,483,75,358600,2019-02-11 20:13:52.0,2021-03-27 07:04:01.0,2021-03-27 14:57:42.0,,Java,85,16,97,2,2021-03-17 07:03:44.0,c32c314411e081dcd1c5d6cdcd627e17de8d780f,False,False,"Java,C++,C,JavaScript,Roff,HTML,Objective-C,XSLT,Shell,M4,Python,Hack,Assembly,Makefile,DTrace,Awk,CSS,GDB,Perl,Batchfile,sed,Dockerfile,Red,SourcePawn","OpenJDK,bug,dependencies,documentation,duplicate,enhancement,good first issue,help wanted,invalid,linux,macos,pending release,question,windows,wontfix"
1018,kiwix/kiwix-android,False,5894,12,develop,23,96,GNU General Public License v3.0,29,391,360,325050,2017-01-18 19:48:46.0,2021-03-26 18:20:16.0,2021-03-26 06:13:22.0,https://android.kiwix.org,Kotlin,1403,133,1207,6,2021-03-26 06:13:18.0,73b2c25f7a9305a60db7f2b158f53640b28b03e5,True,False,"Kotlin,Java,Python,HTML,Shell,JavaScript","Android Vitals,GCI,Hotspot,OPDS,UI,Zim API,blocked,bug,build tools,challenge,code cleanup,custom apps,documentation,duplicate,enhancement,good first issue,hacktoberfest,help wanted,i18n,invalid,kiwix-lib,needs discussion,question,release,search,stale,testing,wontfix"
437,dbeaver/dbeaver,False,19085,50,devel,124,157,Apache License 2.0,474,19730,1830,277355,2015-10-21 08:26:28.0,2021-03-29 19:50:04.0,2021-03-30 00:22:18.0,https://dbeaver.io,Java,10046,1363,1510,8,2021-03-29 16:46:34.0,04f3251c982280176abdcb5af94bd60a4c3254ab,True,False,"Java,JavaScript,C++,CSS,XSLT,HTML,Batchfile,Shell","AS,blocked,bug,can't reproduce,dependencies,development,duplicate,ee,enhancement,environment,feature request,good first issue,help wanted,inreview,new driver,other,planned,question,sp:1,sp:2,sp:3,sp:5,sp:8,third party issue,wait for response,wait for review,wiki,won't fix,x:athena,x:aws,x:bigquery,x:bigtable,x:cassandra,x:clickhouse,x:cockroachdb,x:couchdb,x:db2,x:derby,x:dynamodb,x:exasol,x:firebird,x:gcp,x:generic,x:greenplum,x:h2,x:hana,x:hive,x:impala,x:informix,x:maria,x:mongo,x:mssql,x:mysql,x:netezza,x:odbc,x:oracle,x:postgresql,x:presto,x:redis,x:redshift,x:snowflake,x:sqlite,x:sybase,x:teradata,x:trino,x:vertica,xf:dark theme,xf:data,xf:data compare,xf:datatransfer,xf:debug,xf:erd,xf:gis,xf:i18n,xf:installer,xf:mock data,xf:navigator,xf:schema compare,xf:snap,xf:sql,xo:eclipse,xo:linux,xo:macos,xo:windows,xp:major,xp:minor"
564,ember-cli/ember-cli,False,10699,23,master,223,361,MIT License,179,3325,1147,22062,2013-11-03 17:34:43.0,2021-03-30 04:07:58.0,2021-03-29 19:09:17.0,http://ember-cli.com/,JavaScript,4006,206,5490,40,2021-03-29 19:09:13.0,6023cab4b3a7cd4ff3b4c7ed1d7a3fa552ab188a,True,False,"JavaScript,HTML,PowerShell,Handlebars,Dockerfile","breaking,bug,dependencies,documentation,duplicate,enhancement,github_actions,good first issue,internal,invalid,meta,needs reproduction,needs tests,question,security,wontfix"
1035,ksp-ro/realismoverhaul,False,8421,4,master,89,143,,74,250,226,53515,2014-01-05 23:02:02.0,2021-03-29 01:00:34.0,2021-03-28 21:34:09.0,,C#,411,38,2014,11,2021-03-28 21:34:05.0,3232bd56f4d068cbdee3d248bfa38aa4043ed223,True,False,"C#,Python,Perl,Makefile,HTML","Completed 1 Review Pass,Conflicts - Untested,Discussion Needed,Good to merge but conflicts,Help Wanted - C# Coding,Help Wanted - General,Help Wanted - MM Configs,Help Wanted - Test A Mod,Hold For Release,In Progress,KSP 1.2,Ready To Close?,Ready to Merge?,User Question/Support Request,bug,duplicate,enhancement,invalid,question"
144,astropy/halotools,False,5220,1,master,8,33,,14,61,52,12360,2015-01-09 21:43:58.0,2020-12-14 20:27:01.0,2020-12-14 20:27:03.0,http://halotools.rtfd.org,Python,399,49,608,2,2020-12-14 20:27:00.0,e07cd016b31480d279d5225c70570ca2c63746b0,True,False,,
1328,nightscoutfoundation/xdrip,False,5367,31,master,512,55,GNU General Public License v3.0,141,740,762,30385,2016-09-23 13:33:17.0,2021-03-28 10:36:19.0,2021-03-28 13:30:26.0,https://jamorham.github.io/#xdrip-plus,Java,1285,241,400,58,2021-03-28 09:52:57.0,575a0a910de12e00bbb9dd371527b8a2af2656c2,True,False,"Java,Python,Shell","algorithmics,android-auto,android10+,android11+,bluetooth,breaking,bug,calibration,carbs,code,collector,database,device-bluejay,device-bubble,device-dexcom,device-dexcom-reset,device-dexcom-transmitter,device-eversense,device-glucometer,device-guardian,device-inpen,device-libre,device-miaomiao,device-miband,device-omnipod,device-pendiq,device-pump,device-tandem,device-ticwatch,device-watch,device-wear,duplicate,enhancement,good first issue,help,insulin,insulin-basal,invalid,logging,next-build,question,security,settings,speaking,status-dev_support,status-docs_review,status-postponed,status-waiting,sync,sync-dexcom,sync-local,sync-nightscout,sync-tidepool,testing,translation,type-discussion,type-documentation,ui,ux-alarm,ux-notification,widget,wontfix"
